date,time,air_temperature,h2o_flux,co2_flux,Predicted ET,Actual ET,Delta,Percent Error,datetime
8/30/23,5:30,298.1499938964844,0.04320000112056732,0.09260000288486481,0.0046886298805475235,0.00279999990016222,0.0018886299803853035,67.45107173919678,2023-08-30T05:30:00
9/2/23,9:30,298.1499938964844,1.646468997001648,-3.025189161300659,0.10572249442338943,0.10669119656085968,0.0009687021374702454,0.9079494513571262,2023-09-02T09:30:00
9/28/23,11:30,298.1499938964844,1.7321785688400269,-2.2542812824249268,0.11107612401247025,0.11224517226219177,0.001169048249721527,1.0415131226181984,2023-09-28T11:30:00
12/16/23,18:30,298.1499938964844,-0.292178750038147,2.171696901321411,-0.016517212614417076,-0.01889999955892563,0.0023827869445085526,12.607339024543762,2023-12-16T18:30:00
11/3/23,6:30,298.1499938964844,-0.18864278495311737,0.4090966284275055,-0.009915640577673912,-0.012199999764561653,0.002284359186887741,18.72425526380539,2023-11-03T06:30:00
12/9/23,22:00,298.1499938964844,-0.02319999970495701,1.0542595386505127,0.00046236254274845123,-0.001500000013038516,0.0019623625557869673,130.82417249679565,2023-12-09T22:00:00
7/26/23,22:30,298.1499938964844,0.170567587018013,8.60888957977295,0.013615557923913002,0.011099999770522118,0.0025155581533908844,22.662685811519623,2023-07-26T22:30:00
12/15/23,5:30,298.1499938964844,0.06960000097751617,0.24845312535762787,0.006340513005852699,0.004509999882429838,0.001830513123422861,40.58787524700165,2023-12-15T05:30:00
11/10/23,16:30,298.1499938964844,0.3003777265548706,0.16444851458072662,0.020866701379418373,0.019500000402331352,0.0013667009770870209,7.008723169565201,2023-11-10T16:30:00
10/9/23,17:30,298.1499938964844,-0.1009925976395607,0.8544228672981262,-0.004422357305884361,-0.006539999973028898,0.002117642667144537,32.37985670566559,2023-10-09T17:30:00
11/23/23,10:00,298.1499938964844,0.46442174911499023,1.4490493535995483,0.031123707070946693,0.03009999915957451,0.0010237079113721848,3.4010231494903564,2023-11-23T10:00:00
9/25/23,3:30,298.1499938964844,-0.14786235988140106,2.410503387451172,-0.007447948679327965,-0.009580000303685665,0.0021320516243577003,22.25523591041565,2023-09-25T03:30:00
11/23/23,21:30,298.1499938964844,0.06509999930858612,-2.975145101547241,0.006222555413842201,0.004220000002533197,0.002002555411309004,47.4539190530777,2023-11-23T21:30:00
12/25/23,16:00,298.1499938964844,0.9763830900192261,4.604962348937988,0.05951840430498123,0.0632999986410141,0.0037815943360328674,5.97408264875412,2023-12-25T16:00:00
11/15/23,16:00,298.1499938964844,0.2233573943376541,1.2927333116531372,0.01596284843981266,0.014499999582767487,0.0014628488570451736,10.088612884283066,2023-11-15T16:00:00
9/14/23,8:30,298.1499938964844,0.47943273186683655,-6.612608909606934,0.032472021877765656,0.031099999323487282,0.0013720225542783737,4.411648213863373,2023-09-14T08:30:00
11/15/23,23:30,298.1499938964844,-0.0649000033736229,-0.021900000050663948,-0.002107074484229088,-0.00419999985024333,0.002092925366014242,49.831557273864746,2023-11-15T23:30:00
11/5/23,14:30,298.1499938964844,0.45624446868896484,-2.3414695262908936,0.030799219384789467,0.029600000008940697,0.0011992193758487701,4.051416739821434,2023-11-05T14:30:00
7/12/23,20:00,298.1499938964844,0.7866837382316589,5.3252153396606445,0.048546262085437775,0.050999999046325684,0.002453736960887909,4.811248928308487,2023-07-12T20:00:00
12/9/23,17:30,298.1499938964844,-0.04650000110268593,0.0430000014603138,-0.0009516384452581406,-0.003010000102221966,0.0020583616569638252,68.38410496711731,2023-12-09T17:30:00
10/4/23,3:30,298.1499938964844,0.03099999949336052,-0.5727194547653198,0.0039537642151117325,0.0020099999383091927,0.0019437642768025398,96.70469164848328,2023-10-04T03:30:00
12/28/23,0:30,298.1499938964844,0.06949999928474426,21.992542266845703,0.02316177822649479,0.0044999998062849045,0.018661778420209885,414.7061824798584,2023-12-28T00:30:00
9/11/23,13:00,298.1499938964844,4.293514728546143,-7.990961074829102,0.27251988649368286,0.27821972966194153,0.005699843168258667,2.048684097826481,2023-09-11T13:00:00
11/29/23,13:30,298.1499938964844,0.7221797108650208,-1.0261669158935547,0.04746437817811966,0.046799998730421066,0.0006643794476985931,1.4196142554283142,2023-11-29T13:30:00
11/1/23,9:00,298.1499938964844,0.037700001150369644,0.08810000121593475,0.004342803731560707,0.0024500000290572643,0.0018928037025034428,77.2572934627533,2023-11-01T09:00:00
11/14/23,9:30,298.1499938964844,0.1595420390367508,-0.09529999643564224,0.01201833225786686,0.010300000198185444,0.0017183320596814156,16.682834923267365,2023-11-14T09:30:00
8/21/23,17:30,298.1499938964844,1.284306526184082,6.001821517944336,0.07925982028245926,0.08320000022649765,0.003940179944038391,4.735793173313141,2023-08-21T17:30:00
11/28/23,10:00,298.1499938964844,0.10130182653665543,0.7959098219871521,0.008308837190270424,0.006560000125318766,0.0017488370649516582,26.659101247787476,2023-11-28T10:00:00
8/24/23,19:00,298.1499938964844,1.591907024383545,8.911041259765625,0.10011935979127884,0.10315557569265366,0.003036215901374817,2.9433367773890495,2023-08-24T19:00:00
10/2/23,8:30,298.1499938964844,0.19477680325508118,0.6685034036636353,0.014197776094079018,0.012600000016391277,0.0015977760776877403,12.680763006210327,2023-10-02T08:30:00
7/8/23,9:00,298.1499938964844,1.2603609561920166,3.227139472961426,0.0791701152920723,0.08169999718666077,0.0025298818945884705,3.096550703048706,2023-07-08T09:00:00
11/20/23,13:30,298.1499938964844,1.5525847673416138,0.0820000022649765,0.09965897351503372,0.1006074920296669,0.0009485185146331787,0.9427911601960659,2023-11-20T13:30:00
